company,agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
Hagerstown Police Department,Maryland Transit Administration Police,Special jurisdiction,140, , , , , ,1040 Park Ave,Ste 306, ,Baltimore,MD,Baltimore City,21201, , , , ,24510,"1040 Park Ave, Baltimore, MD 21201",39.3035401,-76.6196831
Hagerstown Police Department,Frederick Police Department,Local police department,138, , , , , ,100 W. Patrick Street, , ,Frederick,MD,Frederick,21701, , , , ,24021,"100 W. Patrick Street, Frederick, MD 21701",39.4136667,-77.412909
Hagerstown Police Department,Annapolis Police Department,Local police department,114, , , , , ,199 Taylor Ave, , ,Annapolis,MD,Anne Arundel,21401, , , , ,24003,"199 Taylor Ave, Annapolis, MD 21401",38.9790564,-76.5064779
Houston Fire-Arson,Houston Police Department,Local police department,5053, , , , , ,17000 Aldine Westfield, , ,Houston,TX,Harris,77073, , , , ,48201,"17000 Aldine Westfield, Houston, TX 77073",29.9668297,-95.3621635
Houston Fire-Arson,Harris County Sheriff's Office,Sheriff's office,2558, , , , , ,1200 Baker St, , ,Houston,TX,Harris,77002, , , , ,48201,"1200 Baker St, Houston, TX 77002",29.7633996,-95.3565019
Houston Fire-Arson,Fort Bend County Sheriff's Office,Sheriff's office,400, , , , , ,1410 Ransom Rd, , ,Richmond,TX,Fort Bend,77469, , , , ,48157,"1410 Ransom Rd, Richmond, TX 77469",29.5640319,-95.7052364
Houston Fire-Arson,Montgomery County Sheriff's Office,Sheriff's office,357, , , , , ,Po Box 432,200 Clark Dr, ,Conroe,TX,Montgomery,77301, , , , ,48339,"Po Box 432, Conroe, TX 77301",30.3120301,-95.4253757
Houston Fire-Arson,Harris County Constable Pct. 4,Constable/marshal,346, , , , , ,6831 Cypresswood Dr,Attn: Lt. Walls, ,Spring,TX,Harris,77379, , , , ,48201,"6831 Cypresswood Dr, Spring, TX 77379",30.0118442,-95.5115587
Houston Fire-Arson,Harris County Constable Pct. 5,Constable/marshal,318, , , , , ,17423 Katy Freeway, , ,Houston,TX,Harris,77094, , , , ,48201,"17423 Katy Freeway, Houston, TX 77094",29.783774,-95.6824889
Houston Fire-Arson,Pasadena Police Department,Local police department,260, , , , , ,1114 JEFF GINN MEMORIAL DRIVE, , ,Pasadena,TX,Harris,77506, , , , ,48201,"1114 JEFF GINN MEMORIAL DRIVE, Pasadena, TX 77506",29.6885512,-95.1976788
Houston Fire-Arson,Beaumont Police Department,Local police department,246, , , , , ,P. O. Box 3827, , ,Beaumont,TX,Jefferson,77704, , , , ,48245,"P. O. Box 3827, Beaumont, TX 77704",30.0802412,-94.0997344
Houston Fire-Arson,Harris County Constable Pct. 1,Constable/marshal,240, , , , , ,"1302 Preston, 3Rd Floor", , ,Houston,TX,Harris,77002, , , , ,48201,"1302 Preston, 3Rd Floor, Houston, TX 77002",29.7595776,-95.3585162
Houston Fire-Arson,Galveston County Sheriff's Office,Sheriff's office,240, , , , , ,601-54Th St, , ,Galveston,TX,Galveston,77551, , , , ,48167,"601-54Th St, Galveston, TX 77551",29.2933928,-94.8305804
Houston Fire-Arson,Houston I.S.D. Police Dept.,Special jurisdiction,197, , , , , ,3500 TAMPA STREET, , ,Houston,TX,Harris,77021, , , , ,48201,"3500 TAMPA STREET, Houston, TX 77021",29.7037113,-95.3656176
Houston Fire-Arson,Harris County Metropolitan Transit Authority Police Dept.,Special jurisdiction,179, , , , , ,810 N. San Jacinto, , ,Houston,TX,Harris,77002, , , , ,48201,"810 N. San Jacinto, Houston, TX 77002",29.7658745,-95.3565491
Houston Fire-Arson,Galveston Police Department,Local police department,161, , , , , ,P.O. Box 17251, , ,Galveston,TX,Galveston,77552, , , , ,48167,"P.O. Box 17251, Galveston, TX 77552",29.2895189,-94.832519
Houston Fire-Arson,Jefferson County Sheriff's Office,Sheriff's office,142, , , , , ,16001 State Route 7, , ,Beaumont,TX,Jefferson,77701, , , , ,48245,"16001 State Route 7, Beaumont, TX 77701",30.0887749,-94.1203406
Houston Fire-Arson,Baytown Police Department,Local police department,136, , , , , ,3200 North Main, , ,Baytown,TX,Harris,77521, , , , ,48201,"3200 North Main, Baytown, TX 77521",29.7562772,-94.9627152
Houston Fire-Arson,Sugar Land Police Department,Local police department,130, , , , , ,PO BOX 110, , ,Sugar Land,TX,Fort Bend,77478, , , , ,48157,"PO BOX 110, Sugar Land, TX 77478",29.6185208,-95.6090009
Houston Fire-Arson,Brazoria County Sheriff's Office,Sheriff's office,127, , , , , ,3602 County Rd 45, , ,Angleton,TX,Brazoria,77515, , , , ,48039,"3602 County Rd 45, Angleton, TX 77515",29.2438635,-95.4088103
Houston Fire-Arson,Pearland Police Department,Local police department,124, , , , , ,2703 Veterans Drive, , ,Pearland,TX,Brazoria,77584, , , , ,48039,"2703 Veterans Drive, Pearland, TX 77584",29.5580333,-95.2890917
Houston Fire-Arson,Bryan Police Department,Local police department,123, , , , , ,103 North Beech Street, , ,Bryan,TX,Brazos,77805, , , , ,48041,"103 North Beech Street, Bryan, TX 77805",30.6743643,-96.3699632
Houston Fire-Arson,Port Arthur Police Department,Local police department,118, , , , , ,P. O. Box 1089, , ,Port Arthur,TX,Jefferson,77641, , , , ,48245,"P. O. Box 1089, Port Arthur, TX 77641",29.8688563,-93.9337944
Houston Fire-Arson,Harris County Constable Pct. 3,Constable/marshal,114, , , , , ,701 W. Baker Rd., , ,Baytown,TX,Harris,77521, , , , ,48201,"701 W. Baker Rd., Baytown, TX 77521",29.7687356,-94.9711336
Sahuarita Police Department ,Tucson Police Department,Local police department,1032, , , , , ,270 South Stone Street, , ,Tucson,AZ,Pima,85701, , , , ,4019,"270 South Stone Street, Tucson, AZ 85701",32.21744350000001,-110.9713127
Sahuarita Police Department ,Pima County Sheriff's Dept.,Sheriff's office,554, , , , , ,1750 E. Benson Hwy, , ,Tucson,AZ,Pima,85714, , , , ,4019,"1750 E. Benson Hwy, Tucson, AZ 85714",32.1710491,-110.9465928
Sahuarita Police Department ,Pinal County Sheriff's Office,Sheriff's office,218, , , , , ,"971 N Jason Lopez Circle, Bldg C",PO Box 867, ,Florence,AZ,Pinal,85232, , , , ,4021,"971 N Jason Lopez Circle, Bldg C, Florence, AZ 85232",33.0412483,-111.3760986
Shreveport Police Department,Shreveport Police Department,Local police department,511, , , , , ,1234 Texas Ave, , ,Shreveport,LA,Caddo,71101, , , , ,22017,"1234 Texas Ave, Shreveport, LA 71101",32.5008041,-93.7553436
Shreveport Police Department,Caddo Parish Sheriff's Office,Sheriff's office,440, , , , , ,501 Texas St Rm 101, , ,Shreveport,LA,Caddo,71101, , , , ,22017,"501 Texas St Rm 101, Shreveport, LA 71101",32.5120844,-93.7497777
Shreveport Police Department,Ouachita Parish Sheriff's Office,Sheriff's office,431, , , , , ,400 St John St, , ,Monroe,LA,Ouachita,71201, , , , ,22073,"400 St John St, Monroe, LA 71201",32.4983098,-92.1155308
Shreveport Police Department,Bossier Parish Sheriff's Office,Sheriff's office,300, , , , , ,Po Box 850, , ,Benton,LA,Bossier,71006, , , , ,22015,"Po Box 850, Benton, LA 71006",32.6948677,-93.7418454
Shreveport Police Department,Monroe Police Department,Local police department,188, , , , , ,818 W Main, , ,Monroe,LA,Ouachita,71210, , , , ,22073,"818 W Main, Monroe, LA 71210",32.5,-92.11
Shreveport Police Department,Bossier City Police Dept,Local police department,178, , , , , ,Po Box 6216, , ,Bossier City,LA,Bossier,71171, , , , ,22015,"Po Box 6216, Bossier City, LA 71171",32.5170024,-93.7168371
Soddy Daisy Police Department,Knox County Sheriff's Office,Sheriff's office,456, , , , , ,Po Box 1669, , ,Knoxville,TN,Knox,37902, , , , ,47093,"Po Box 1669, Knoxville, TN 37902",35.9641189,-83.92016559999999
Soddy Daisy Police Department,Chattanooga Police Department,Local police department,434, , , , , ,3410 Amnicola Hwy., , ,Chattanooga,TN,Hamilton,37406, , , , ,47065,"3410 Amnicola Hwy., Chattanooga, TN 37406",35.0818065,-85.26308879999999
Soddy Daisy Police Department,Knoxville Police Department,Local police department,375, , , , , ,P.O. Box 3610, , ,Knoxville,TN,Knox,37927, , , , ,47093,"P.O. Box 3610, Knoxville, TN 37927",36.0,-83.92000000000002
Soddy Daisy Police Department,Murfreesboro Police Department,Local police department,213, , , , , ,302 S. Church St., , ,Murfreesboro,TN,Rutherford,37130, , , , ,47149,"302 S. Church St., Murfreesboro, TN 37130",35.8437759,-86.39215519999999
Soddy Daisy Police Department,Wilson County Sheriff's Office,Sheriff's office,202, , , , , ,925 Pierce St, , ,Lebanon,TN,Wilson,37087, , , , ,47189,"925 Pierce St, Lebanon, TN 37087",36.2169091,-86.3346882
Soddy Daisy Police Department,Bradley County Sheriff's Office,Sheriff's office,200, , , , , ,107 N. Myrtle St., , ,Cleveland,TN,Bradley,37311, , , , ,47011,"107 N. Myrtle St., Cleveland, TN 37311",35.0981107,-84.9297206
Soddy Daisy Police Department,Rutherford County Sheriff's Office,Sheriff's office,189, , , , , ,198 N Washington St, , ,Murfreesboro,TN,Rutherford,37129, , , , ,47149,"198 N Washington St, Murfreesboro, TN 37129",35.9173416,-86.4490926
Soddy Daisy Police Department,Blount County Sheriff's Office,Sheriff's office,176, , , , , ,225 Industrial Park Rd, , ,Maryville,TN,Blount,37804, , , , ,47009,"225 Industrial Park Rd, Maryville, TN 37804",35.7830899,-83.91089680000002
Soddy Daisy Police Department,Hamilton County Sheriff's Office,Sheriff's office,146, , , , , ,Po Box 764,103 West Ave C, ,Chattanooga,TN,Hamilton,37402, , , , ,47065,"Po Box 764, Chattanooga, TN 37402",35.0449767,-85.31620660000002
Victoria Police Department,Corpus Christi Police Department,Local police department,448, , , , , ,P. O. Box 9016, , ,Corpus Christi,TX,Nueces,78469, , , , ,48355,"P. O. Box 9016, Corpus Christi, TX 78469",27.798027,-97.4290094
Victoria Police Department,Fort Bend County Sheriff's Office,Sheriff's office,400, , , , , ,1410 Ransom Rd, , ,Richmond,TX,Fort Bend,77469, , , , ,48157,"1410 Ransom Rd, Richmond, TX 77469",29.5640319,-95.7052364
Victoria Police Department,Hays County Sheriff's Office,Sheriff's office,124, , , , , ,1307 Uhland Rd, , ,San Marcos,TX,Hays,78666, , , , ,48209,"1307 Uhland Rd, San Marcos, TX 78666",29.8964274,-97.9037991
Williamson County Sheriff's Office,Texas Department of Public Safety,Primary state law enforcement agency,3529, , , , , ,"Attn: Cindy Torres, Hr",P O Box 4087, ,Austin,TX,Travis,78773, , , , ,48453,"Attn: Cindy Torres, Hr, Austin, TX 78773",30.32999999999999,-97.7
Williamson County Sheriff's Office,San Antonio Police Department,Local police department,2020, , , , , ,214 W. Nueva St., , ,San Antonio,TX,Bexar,78207, , , , ,48029,"214 W. Nueva St., San Antonio, TX 78207",29.4227696,-98.4970303
Williamson County Sheriff's Office,Austin Police Department,Local police department,1515, , , , , ,201 1St Street Ne, , ,Austin,TX,Travis,78768, , , , ,48453,"201 1St Street Ne, Austin, TX 78768",30.27,-97.74
Williamson County Sheriff's Office,Bexar County Sheriff's Office,Sheriff's office,526, , , , , ,200 N Comal, , ,San Antonio,TX,Bexar,78207, , , , ,48029,"200 N Comal, San Antonio, TX 78207",29.4285128,-98.5066296
Williamson County Sheriff's Office,Texas Parks & Wildlife Department,Special jurisdiction,480, , , , , ,4200 Smith School Rd,Attn: Randall Odom, ,Austin,TX,Travis,78744, , , , ,48453,"4200 Smith School Rd, Austin, TX 78744",30.1927581,-97.7153718
Williamson County Sheriff's Office,Travis County Sheriff's Office,Sheriff's office,290, , , , , ,P.O. Box 1748, , ,Austin,TX,Travis,78767, , , , ,48453,"P.O. Box 1748, Austin, TX 78767",30.2694174,-97.739694
Williamson County Sheriff's Office,Texas Alcoholic Beverage Commission,Special jurisdiction,277, , , , , ,5806 Mesa Drive,Enforcement Training Section, ,Austin,TX,Travis,78731, , , , ,48453,"5806 Mesa Drive, Austin, TX 78731",30.3421103,-97.7712124
Williamson County Sheriff's Office,Waco Police Department,Local police department,246, , , , , ,721 N. 4Th, , ,Waco,TX,McLennan,76701, , , , ,48309,"721 N. 4Th, Waco, TX 76701",31.5624483,-97.1357805
Williamson County Sheriff's Office,Williamson County Sheriff's Office,Sheriff's office,206, , , , , ,200 W Jefferson St, , ,Georgetown,TX,Williamson,78626, , , , ,48491,"200 W Jefferson St, Georgetown, TX 78626",30.6414662,-97.6812055
Williamson County Sheriff's Office,McLennan County Sheriff's Office,Sheriff's office,200, , , , , ,901 Washington Avenue, , ,Waco,TX,McLennan,76701, , , , ,48309,"901 Washington Avenue, Waco, TX 76701",31.5545724,-97.1367872
Williamson County Sheriff's Office,Killeen Police Department,Local police department,190, , , , , ,402 N. 2Nd Street, , ,Killeen,TX,Bell,76541, , , , ,48027,"402 N. 2Nd Street, Killeen, TX 76541",31.1216937,-97.7295669
Williamson County Sheriff's Office,Round Rock Police Department,Local police department,133, , , , , ,2701 N. Mays St., , ,Round Rock,TX,Williamson,78665, , , , ,48491,"2701 N. Mays St., Round Rock, TX 78665",30.5408259,-97.6870314
Williamson County Sheriff's Office,Temple Police Department,Local police department,132, , , , , ,Post Office Box 160, , ,Temple,TX,Bell,76501, , , , ,48027,"Post Office Box 160, Temple, TX 76501",31.082147,-97.2437105
Williamson County Sheriff's Office,Hays County Sheriff's Office,Sheriff's office,124, , , , , ,1307 Uhland Rd, , ,San Marcos,TX,Hays,78666, , , , ,48209,"1307 Uhland Rd, San Marcos, TX 78666",29.8964274,-97.9037991
Williamson County Sheriff's Office,Bryan Police Department,Local police department,123, , , , , ,103 North Beech Street, , ,Bryan,TX,Brazos,77805, , , , ,48041,"103 North Beech Street, Bryan, TX 77805",30.6743643,-96.3699632
Yoakum Police Department,Texas Department of Public Safety,Primary state law enforcement agency,3529, , , , , ,"Attn: Cindy Torres, Hr",P O Box 4087, ,Austin,TX,Travis,78773, , , , ,48453,"Attn: Cindy Torres, Hr, Austin, TX 78773",30.32999999999999,-97.7
Yoakum Police Department,San Antonio Police Department,Local police department,2020, , , , , ,214 W. Nueva St., , ,San Antonio,TX,Bexar,78207, , , , ,48029,"214 W. Nueva St., San Antonio, TX 78207",29.4227696,-98.4970303
Yoakum Police Department,Austin Police Department,Local police department,1515, , , , , ,201 1St Street Ne, , ,Austin,TX,Travis,78768, , , , ,48453,"201 1St Street Ne, Austin, TX 78768",30.27,-97.74
Yoakum Police Department,Bexar County Sheriff's Office,Sheriff's office,526, , , , , ,200 N Comal, , ,San Antonio,TX,Bexar,78207, , , , ,48029,"200 N Comal, San Antonio, TX 78207",29.4285128,-98.5066296
Yoakum Police Department,Texas Parks & Wildlife Department,Special jurisdiction,480, , , , , ,4200 Smith School Rd,Attn: Randall Odom, ,Austin,TX,Travis,78744, , , , ,48453,"4200 Smith School Rd, Austin, TX 78744",30.1927581,-97.7153718
Yoakum Police Department,Corpus Christi Police Department,Local police department,448, , , , , ,P. O. Box 9016, , ,Corpus Christi,TX,Nueces,78469, , , , ,48355,"P. O. Box 9016, Corpus Christi, TX 78469",27.798027,-97.4290094
Yoakum Police Department,Fort Bend County Sheriff's Office,Sheriff's office,400, , , , , ,1410 Ransom Rd, , ,Richmond,TX,Fort Bend,77469, , , , ,48157,"1410 Ransom Rd, Richmond, TX 77469",29.5640319,-95.7052364
Yoakum Police Department,Harris County Constable Pct. 5,Constable/marshal,318, , , , , ,17423 Katy Freeway, , ,Houston,TX,Harris,77094, , , , ,48201,"17423 Katy Freeway, Houston, TX 77094",29.783774,-95.6824889
Yoakum Police Department,Travis County Sheriff's Office,Sheriff's office,290, , , , , ,P.O. Box 1748, , ,Austin,TX,Travis,78767, , , , ,48453,"P.O. Box 1748, Austin, TX 78767",30.2694174,-97.739694
Yoakum Police Department,Texas Alcoholic Beverage Commission,Special jurisdiction,277, , , , , ,5806 Mesa Drive,Enforcement Training Section, ,Austin,TX,Travis,78731, , , , ,48453,"5806 Mesa Drive, Austin, TX 78731",30.3421103,-97.7712124
Yoakum Police Department,Round Rock Police Department,Local police department,133, , , , , ,2701 N. Mays St., , ,Round Rock,TX,Williamson,78665, , , , ,48491,"2701 N. Mays St., Round Rock, TX 78665",30.5408259,-97.6870314
Yoakum Police Department,Sugar Land Police Department,Local police department,130, , , , , ,PO BOX 110, , ,Sugar Land,TX,Fort Bend,77478, , , , ,48157,"PO BOX 110, Sugar Land, TX 77478",29.6185208,-95.6090009
Yoakum Police Department,Hays County Sheriff's Office,Sheriff's office,124, , , , , ,1307 Uhland Rd, , ,San Marcos,TX,Hays,78666, , , , ,48209,"1307 Uhland Rd, San Marcos, TX 78666",29.8964274,-97.9037991
